"Imported Companies","Enrich LI Company","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Company Headcount Growth","Find most recent news","Find Technology Stack","Find Tech Stack","Tech Stack","Find Open Jobs","Find Open Jobs (1)","Find Active Job Openings via LinkedIn","Job Openings"
,,"SURYA-ENTERPRISE","SURYA ENTERPRISE in fabrication and erection of piping, structures, equipment, civil and maintenance work for turnkey industrial projects and service industries.Surya Enterprise Company ('SE') are committed to under take every activity with due regard to required safe practices and guard against any hazardous and unsafe conditions pro-actively. SE Engineering Company has a list of Clientele to envy with. Our customer focused approach has consistently impressed our clients to build long term business associations","Mechanical or Industrial Engineering","11-50 employees","Self Owned","Ankleshwar, near Manav Mandir","India","suryaenterprise.es","https://www.linkedin.com/company/urya-enterprise",,,,,,,,,
,,"Doshi Brothers Marketing P. Ltd- Power to rotate","Doshi Brothers Marketing (P) Limited is Indias largest authorized importer & distributor, connected with the worlds most popular bearing brands since 2003.

We have been authorized nationally, connected globally with popular brands like NSK-RHP Japan, NACHI Japan, HCH China, NMB Japan, COK China, VCO, VIPSA and MASK to name a few. 

Weve achieved the Best Quality Supplier Award from all major OEM customers.

Our major supply area is automotive, agriculture, motorcycles, household appliances, electric motors, pumps, electric power tools, gearbox, machinery, and textiles industry, and many more industries.

Doshi Brothers Marketing (P) Limited has a huge inventory and the largest warehouse for bearings. Our success is linked with our ability to deliver any type of bearing anywhere within a short period which is backed up by an impressive track record of customer satisfaction.

Our Three-fold business motto is to always supply the best quality products at affordable rates to cater to the requirements of varied customers.","Mechanical or Industrial Engineering","11-50 employees","Privately Held","Mumbai, Maharashtra","India","doshimarketing.com","https://www.linkedin.com/company/doshi-brothers-marketing",,,,,,,,,
,,"Universal Mechatronics","We are An ISO 9001 certified, NSIC approved SSI, 100% Indian owned company, competent to design and manufacture of Test Rigs, SPMs, Hydraulic Systems, Pneumatic Systems and critical Pneumatic Systems with automation and Automation Panels. 
During past decade we have supplied many custom built systems to various organizations in Defence R&D as well as Aerospace users. We have developed and supplied components & systems for many critical and non‐conventional applications. We also supplied Pneumatic Systems & Test Rigs with compressor, Air storage vessels, high pressure gas boosting systems to many establishments spread across the country.
We have expertise and experience in handling most of the gases including Hydrogen, Oxygen, Helium, Nitrogen, Air, Xenon, Co2, Natural gas, refrigerant gases etc. Similarly in Hydraulics, we have supplied high pressure systems using myriad fluids including aero safe mineral oils. 
We are registered and approved as vendor to RCI, ASL, DRDL, BDL, DMRL, VSSC, LPSC, HAL, BHEL, GE, ONGC, Schlumberger, Cairn, Aker etc. 
We have service team for customer support of our products. We also have AMC and service contracts with HAL, ASL, RCI, CAIRN, OCTL etc for the Systems having hydraulics, Pneumatics & Automation Controls. 
Photographs of myriad custom built hydro‐pneumatic systems designed, manufactured and supplied by us are available on our website www.umindia.com/home .We have a proven track record for supplying & servicing of Test Systems
Should you need any further information, inputs or documentation, please let us know. We will be happy to provide all such information","Mechanical or Industrial Engineering","11-50 employees","Partnership","Hyderabad, Telangana","India","umindia.com","https://www.linkedin.com/company/universal-mechatronics",,,,,,,,,
,,"Sidharth Steel Centre","Sidharth Steel Centre is in the market for more than 30 years as one of the biggest Manufacturer, Supplier & Stockists of Stainless Steel:
Pipes/Tubes
Pipe Coil/Tube Coil
Surgical Pipes/Tubes
Capillary Pipes/Tubes
Seamless/ERW/Semi-Seamless Pipes
Sensor Tubes
Boiler Tubes
Heater Pipes
Wires
Mandrels/Rods/Bars","Mechanical or Industrial Engineering","2-10 employees","Self Owned","Mumbai, Maharashtra","India","indiamart.com","https://www.linkedin.com/company/sidharth-steel-centre",,,,,,,,,
,,"USOARA","USOARA is found by a group of passionate and enthusiastic professionals from multiple domains. We found USOARA so that we can coordinate our skills, experience and knowledge to find and transform human potential that is not utilized for the betterment of the society.","Mechanical or Industrial Engineering","2-10 employees","Privately Held","Kollam, Kerala","India","usoara.com","https://www.linkedin.com/company/usoara",,,,,,,,,
,,"HV INDUSTRIES","We Believe in Innovations.  

We at H V industries Manufacture a wide variety of products , with using only lean management skills and top of the line technology. It is being 20 years of services we are providing to our valuable customers. Many of  our valuable clients joined with us since a long ago and still chooses us to have our services at their firm. 

Our heuristically developed skills and a veteran of the Mechanical engineering service provider we have been known as Heuristic veteran of Industries. 

We at H V industries provides services mainly in three categories, 

- Machines & machine tools_HIGH QUALITY,HEAVY DUTY

  (Manufactures and delivers wide variety of Special purpose machines and Milling machines, beyond our customer 
    requirements).

- Tooling_MANUFACTURED FOR HIGH PRECISION

   (We have been delivering various types of dies and tools to our valuable customers since 1998).
    We stand to deliver Various types of Tooling products like: 

            - Stamping Dies,
            - Pressurized casting dies,
            - Progressive dies,
            - Forging Dies,
            - Extrusion dies and much more,
            - Jigs & Fixtures,
            - Special Attachments   

- Research & engineering_DETERMINED TO HAVE ENGINEERING
  
  (As a Engineering group of company, we also provide services for,

            - New Product Development
            - Product design 
            - Quality management
            - Industrial Solutions
            - Machinery maintenance
            - Process Management

Visit us at : www.hvindustries.net","Mechanical or Industrial Engineering","2-10 employees","Self Owned","Vadodara, Gujarat","India","hvindustries.co.in","https://www.linkedin.com/company/hvindustries",,,,,,,,,
,,"Emaan Engineering Works","Emaan Engineering Works, Mahim (East), Mumbai, Maharashtra We are Manufacturer of Moulded Rubber Parts, Plastic Moulded Components, Molded Rubber, Molded Rubber Products and Rubber & Rubber Products","Mechanical or Industrial Engineering","11-50 employees",,"Mumbai, Maharashtra","India","indiamart.com","https://www.linkedin.com/company/emaan-engineering-works",,,,,,,,,
,,"Cadtrium Engineering Solution Private Limited","Cadtrium Engineering Solution Private Limited Service Provider of mesh & contact generation, simulation, design verification & optimization & surface modeling in New Delhi, Delhi.","Mechanical or Industrial Engineering","11-50 employees",,"Delhi, Delhi","India","cadtrium.com","https://www.linkedin.com/company/cadtrium-engineering-solution-private-limited",,,,,,,,,
,,"National Heavy Engineering Co-Op Limited. Talegaon Dabhade Pune.",,"Mechanical or Industrial Engineering","51-200 employees",,"Pune, Maharashtra","India",,"https://www.linkedin.com/company/national-heavy-engineering-co-op-limited.-talegaon-dabhade-pune.",,,,,,,,,
,,"Allmack Engineering","Allmack Engineering, Odhav, Ahmedabad, Gujarat Service Provider of Saft Pin, Feed Pump Parts, Concrete Machine Parts, Cement Machinery Parts and Cement and Concrete","Mechanical or Industrial Engineering","51-200 employees",,"Ahmedabad, Gujarat","India","indiamart.com","https://www.linkedin.com/company/allmack-engineering",,,,,,,,,
,,"Shardlow India Ltd",,"Mechanical or Industrial Engineering","51-200 employees",,"Chennai, Tamil Nadu","India","shardlow.in","https://www.linkedin.com/company/shardlow-india-ltd",,,,,,,,,
,,"Reeya Engineering Solutions","Deals in heat exchanger design, pressure vessel design etc.","Mechanical or Industrial Engineering","11-50 employees",,"Ahmedabad, Gujarat","India","indiamart.com","https://www.linkedin.com/company/reeya-engineering-solutions",,,,,,,,,
,,"Qutech Engineers & Consultant","We are one of the trusted business entities involved in providing Security Systems Installations. Moreover, we also undertake PLC Cabling & Data and Electrical Trunking & Wire Works for our clients.","Mechanical or Industrial Engineering","51-200 employees",,"Pune, Maharashtra","India","indiamart.com","https://www.linkedin.com/company/qutech-engineers-&-consultant",,,,,,,,,
,,"Memco - India","Accredited with ISO 9001:2008
MEMCO is a modern industrial assembling organization headquartered in Mumbai India. The leader organization creates assortment of Welding machinery, industrial applications, and provides welding consumables and welding gas cutting solutions.

Its a private manufacturing unit with footprints all across India and overseas providing the best welding solution in the innovation sector.","Mechanical or Industrial Engineering","201-500 employees","Privately Held","MUMBAI, Maharashtra","India","memcoin.com","https://www.linkedin.com/company/memco-welding",,,,,,,,,
,,"VIDHEKSH Sliding Head Solutions","VIDHEKSH S.H.S. is specialized in advance solutions for producing tailor-made products especially in Sliding Head Machines. Our product portfolio suffice wide areas of application ranging from Aerospace Parts, Orthopedics  Dentistry - Medical Components, and Brass component industries. We provide turnkey solutions according to your stipulation.","Mechanical or Industrial Engineering","2-10 employees","Self Employed","Ahmedabad , Gujarat","India","vidheksh.com","https://www.linkedin.com/company/vidheksh",,,,,,,,,
,,"Petson Engineering Works","Petson Engineering Works Manufacturer of aata maker machine parts, atta chakki & domestic floor mill in Ahmedabad, Gujarat.","Mechanical or Industrial Engineering","51-200 employees",,"Ahmedabad, Gujarat","India","indiamart.com","https://www.linkedin.com/company/petson-engineering-works",,,,,,,,,
,,"Jaydeep Engineering Tools","We are the supplier machine, mixer machine, cutter machine, cutting machine, core cutting machine, grinder machine, hopper mixture machine, lift mixcher machine, vibrstor machine.","Mechanical or Industrial Engineering","51-200 employees",,"Ahmedabad, Gujarat","India","indiamart.com","https://www.linkedin.com/company/jaydeep-engineering-tools",,,,,,,,,
,,"N A R Engineering And Agro Industries","We �N A R Engineering And Agro Industries�, are a Proprietorship Firm, engaged in manufacturing, retailing and wholesaling premium quality Stainless Steel Scrubbers, etc.","Mechanical or Industrial Engineering","51-200 employees",,"Hyderabad, Telangana","India","indiamart.com","https://www.linkedin.com/company/n-a-r-engineering-and-agro-industries",,,,,,,,,
,,"Shri Krupa Electroplating & Fabrication Works",,"Mechanical or Industrial Engineering","11-50 employees",,"Pune, Maharashtra","India",,"https://www.linkedin.com/company/shri-krupa-electroplating-&-fabrication-works",,,,,,,,,
,,"Vijaya Laxmi Engineering Works","We are one of the leading Manufacturers and Suppliers of Electrical Towers, Communication Tower and Tower Products. Our product range is highly appreciated for its rugged construction and optimum func","Mechanical or Industrial Engineering","51-200 employees",,"Hyderabad, Telangana","India","indiamart.com","https://www.linkedin.com/company/vijaya-laxmi-engineering-works",,,,,,,,,
,,"Pooja Steel Fabricators & Engineers","We are recognized Manufacturer and Supplier of a broad assortment of Articles Moulding Machine, Horizontal Moulding Machine, Bi-Axial Machine, etc. These machines are known for excellent performance, high efficiency and compact design.","Mechanical or Industrial Engineering","51-200 employees",,"Ahmedabad, Gujarat","India","indiamart.com","https://www.linkedin.com/company/pooja-steel-fabricators-&-engineers",,,,,,,,,
,,"AKASH Blowers Pvt. Ltd.","AKASH BLOWERS PVT LTD AKASH Blowers Pvt Ltd (ABPL) an ISO 9001:2015 certified company based in Bahadurgarh, Haryana, India operating at a capacity to produce 500+ blowers in a month. It specialized in various lines of high-quality roots type air blowers, ring blowers, vacuum boosters, acoustic hoods, and volute dewatering machine on a very customer friendly price tag. It has the manufacturing experience of 20,000+ blowers & counting which has made their mark in the market from last 7 years. ABPL has extensive all-round facilities which include in-house design, production, manufacturing, quality control, inspection and after sales service.

ABPL has a complete marketing infrastructure and unwavering commitment of highly skilled & trained staff members that provide the in-depth technical clarifications prior to procurement and after sales support. The qualified, experienced team of service and commissioning engineers are also available to travel PAN India to handle complaints and fulfil the expectations of the customers within scope as fast as possible.

A focus on innovative design, high-quality products with effective services support within stipulated time, high-quality machines and customer delight obsession has earned ABPL a reputation for excellence amongst its users.

Today ABPL is proudly the fastest growing & leading manufacturer of the Air Blower in India Offers Twin & Tri-lobe blower available for flow rates 10 M3/HR to 10,000 M3/HR in single stage & up to any capacity in parallel configuration for working pressure up to 1 kg/cm2.

Some Unique Points About ABPL
1. Interchangeable Rotors
2. After Sale Service  Provide within 24/48 hrs. in PAN India.
3. Low noise series blowers.
4. Very Efficient & Compact direct drive blower from 5M3/HR to 60 M3/HR
5. Alloy Steel Toughened Shafts ground to close the tolerances.
6. Improved Volumetric Efficiency & reduced the operating temperatures.
7. Dynamic Balanced rotor shaft assembly Grade 6.3 ISO 1940-1986.","Mechanical or Industrial Engineering","201-500 employees","Privately Held","Bahadurgarh, Haryana","India","akashblowers.com","https://www.linkedin.com/company/akashblowers",,,,,,,,,
,,"DiGas Private Limited","DiGas Private Limited is an IIT Madras incubated company headquartered in Chennai. Hindustan Petroleum Corporation Limited is its investor. DiGas is an R&D driven company which is currently engaged in building some exciting products related to kitchen/home appliance.","Mechanical or Industrial Engineering","2-10 employees","Privately Held","Chennai, Tamil Nadu","India","digas.co.in","https://www.linkedin.com/company/digas-private-limited",,,,,,,,,
,,"FORMING AND FORGING INDUSTRIES","Manufacturer Exporter of Fasteners Specialized in Bolt and Nuts Since 1993
Our company is an ISO 9001:2015 Certified Company
CE approved products","Mechanical or Industrial Engineering","11-50 employees","Partnership","LUDHIANA, PUNJAB","India","formingforging.com","https://www.linkedin.com/company/forming-and-forging-industries",,,,,,,,,
,,"Roysons Engineers Private Limited","Roysons Engineering Private Limited Manufacturer of marine application, industrial water works & other products since 1957 in Kolkata, West Bengal.","Mechanical or Industrial Engineering","51-200 employees",,"Kolkata, West Bengal","India","indiamart.com","https://www.linkedin.com/company/roysons-engineering-private-limited",,,,,,,,,
,,"Tecnovia Engineering","Incepted in the year 2014 at Ahmedabad (Gujarat, India), we �Tecnovia Engineering� are a Sole Proprietorship firm that is an affluent manufacturer of a wide array of Industrial Furnaces, O","Mechanical or Industrial Engineering","51-200 employees",,"Ahmedabad, Gujarat","India","indiamart.com","https://www.linkedin.com/company/tecnovia-engineering",,,,,,,,,
,,"V-Transsystem Technology Pvt. Ltd.","V-Transsystem Technology Private Limited exist to provide  Transportation Fixtures promptly to the customer.
Global customer centric company delivering high value products to Transportation Industry.","Mechanical or Industrial Engineering","11-50 employees","Privately Held","Pune, Maharashtra","India","vtranssystem.com","https://www.linkedin.com/company/v-transsystem-technology-pvt-ltd",,,,,,,,,
,,"BHZ Engineering Technologies","We �Beijing Wavespecteum Science and Technology Co., Limited� are a renowned manufacturer of a premium quality range of Data Loggers, Data Acquisition, Calibration Instrument, Impact Hammer, Cable Reel, etc .","Mechanical or Industrial Engineering","11-50 employees",,"Gurgaon, Haryana","India","sensor.in","https://www.linkedin.com/company/bhz-engineering-technologies",,,,,,,,,
,,"Consite Engineering","Consite Engineering Co. Ltd, Mumbai was incorporated in 1986 as an ISO 9001-2008 company. Since 1986, manufacturing various types of equipment has been our forte. Our office is based out of Mumbai. Our facility, in Wada is in close proximity of the Mumbai City & Mumbai Sea Ports. It is spread over a sprawling 12 acres of land and equipped with a complete range of machinery required and a skilled workforce to execute all our production jobs. Using mobile cranes, our workforce can execute jobs weighing up to a whooping 90 tons. We also undertake Infrastructure Projects if and when theres a requirement.

Our cliental is huge, we have previously worked and currently working with brands like: Aditya Birla Group, Biocon India, Bayer India, Jubilant Organosys, Tata Advanced Materials, Air India, Fiat, Godrej & Boyce Mfg., Otis Elevators India, Tata Projects, Titan International, TVS Suzuki, LG Electronics, Suzlon, ITC, Bharat Petroleum, Indian Oil, Raymond, Reid & Taylor, CEAT, etc. just to name a few.

Our facility in Wada, has been approved by the Chief Controller of Explosives Ltd., Nagpur for manufacturing of unfired Pressure Vessels for storage of Petroleum Class a under SMPV (U) Rules 1981 namely, LPG Bullets, High Pressure Vessels etc.

Visit our website to know more about us.","Mechanical or Industrial Engineering","201-500 employees","Privately Held","Mumbai, Maharashtra","India","consite.in","https://www.linkedin.com/company/consite-engineering-co--ltd-",,,,,,,,,
,,"Flow And Force Engineers","We are a leading manufacturer, supplier, exporter and trader of Hydraulic Machinery, Aeronautical Laboratory Equipment, R&D Laboratory Equipment, Pneumatic Laboratory Equipment, Design Lab Equipme","Mechanical or Industrial Engineering","51-200 employees",,"Bangalore, Karnataka","India","indiamart.com","https://www.linkedin.com/company/flow-and-force-engineers",,,,,,,,,
,,"AMALGAMATIONS VALEO CLUTCH PRIVATE LIMITED","AMALGAMATIONS VALEO CLUTCH PRIVATE LIMITED is a mechanical or industrial engineering company based out of Vallam Sriperumbudur Taluk,, Chennai, Tamil Nadu, India.","Mechanical or Industrial Engineering","501-1,000 employees","Partnership","Chennai, Tamil Nadu","India","google.com","https://www.linkedin.com/company/avcpl-valeo",,,,,,,,,
,,"Ratnam Motors - India",,"Mechanical or Industrial Engineering",,,,"India","ratnammotorslimited.com","https://www.linkedin.com/company/ratnam-motors---india",,,,,,,,,
,,"Panchshil Engineering Private Limited",,"Mechanical or Industrial Engineering","51-200 employees",,"Pune, Maharashtra","India",,"https://www.linkedin.com/company/panchshil-engineering-private-limited",,,,,,,,,
,,"Indo Pneumatics Pvt. Ltd. - India",,"Mechanical or Industrial Engineering",,,"Chandigarh, Chandigarh","India","indopneumatics.com","https://www.linkedin.com/company/indo-pneumatics-pvt-ltd---india",,,,,,,,,
,,"Excellent Engineering Solutions",,"Mechanical or Industrial Engineering",,,"Navi Mumbai, Maharashtra","India","excellentengineering.in","https://www.linkedin.com/company/excellent-engineering-solutions",,,,,,,,,
,,"Extinct Fire Engineers Pvt. Ltd.","Since 1990, Extinct Fire Engineers have been providing Turnkey Fire Protection & Detection solutions predominantly to MNCs & Corporate across the Indian subcontinent. Our ""No Compromise on Quality"" policy has made us known as ""The Most Trustworthy and Dependable Partner"" when it comes to safeguarding Precious Resources. As a Turnkey Project Company, we provide our services in fire detection and suppression using Foam System, Hydrant Systems, Sprinkler Systems, Spray Systems, Fire Extinguishers, FAS, Gas Suppression Systems etc.

We have served and continue to serve clients both MNCs and Corporates - in Private as also  Government sectors, and industries engaged in Construction, Pharmaceuticals, Commercial Segment, Manufacturing, Oil and Gas, Power, Energy and several other  High Hazard Projects, etc. A full-fledged AMC division, providing manned and periodical visits, ensures that the systems are in readiness to work should there be a fire incident. 

Our work culture is unique and promotes individual growth of our employees and through this process the growth of the Company. Our motto - ""Learn and Fun is the way to Earn"" - ensures that our employees enjoy their work even while they work. Our ""Speak with Data"" core value has earned us the precious trust of our clients over the years. We strictly adhere to our ""No Safety No Work"" policy and we are proud to say that we have a ZERO SAFETY ISSUE in all the projects we have handled so far.

More at www.extinctfire.com

Be part of the ExtinctFire Family and enhance your career prospects, e-mail your resumes to careers@extinctfire.com even if you are a Fresher!","Mechanical or Industrial Engineering","51-200 employees","Privately Held","Mumbai, Maharashtra","India","extinctfire.com","https://www.linkedin.com/company/extinctfire",,,,,,,,,
,,"Chola Engineering And Designs","Chola Engineering And Designs Manufacturer of fanless and fill less cooling towers, cooling tower & cooling tower spare parts since 2007 in Chennai, Tamil Nadu.","Mechanical or Industrial Engineering","51-200 employees",,"Chennai, Tamil Nadu","India","indiamart.com","https://www.linkedin.com/company/chola-engineering-and-designs",,,,,,,,,
,,"National Rubber Industries - India",,"Mechanical or Industrial Engineering",,,"Ahmedabad, Gujarat","India","nationalrubberind.com","https://www.linkedin.com/company/national-rubber-industries---india",,,,,,,,,
,,"Amrock","AMROCK is a leading brand engaged in manufacturing and supply of Fiberglass Reinforced Plastic (FRP) & Steel Products in India and overseas. Our product range includes Fiberglass Gratings, Electro Forged Steel Gratings, FRP Covers & Frames, FRP Floor Markers, FRP Guards as well as FRP Signage. 

We provide turnkey solution and can help you from concept to commissioning. We have also started executing EPC projects along with manufacturing and supply.","Mechanical or Industrial Engineering","11-50 employees","Privately Held","Ahmedabad, Gujarat","India","amrock.in","https://www.linkedin.com/company/amrockindia",,,,,,,,,
,,"Mechanical Piping Design","Mechanical Piping Design is a well known company offering outsourcing solutions to a wide array of   industries in the area of Mechanical Engineering. We have the right kind of infrastructure and a team of engineers and professionals who are highly knowledgeable and trained to deliver the perfect back end support services for your projects. When you entrust any job on us, we take complete charge of the assignment on end to end basis covering all aspects from start to finish.

Our services 
The services that we offer revolve around industries of varied types and we are experts in the following:
	Mechanical Design
	Mechanical drafting
	Mechanical design services
	Mechanical drafting services
	Modeling services  2D and  3D
	Process & Detail Engineering
	Pipeline designing and Tank designing
	Piping design and drafting
	Plant designing
	Structural drafting
	Finite element analysis (FEA)
	CAD conversion
	CAD Migration
	Conversion of PDF to DWG / DWG to DGN
	Prototyping and Rapid Prototyping
	Product design and development
	Sheet metal design
	Casting design
	Jigs & Fixture design
	Tower design

Industries served

We have served several kinds of industries across the sectors of  Agriculture, Petrochemicals, Oil and gas, Cement, Chemical Plants and Chemical Industries, Offshore platforms, Fertilizers, Food and Beverages and  Marine vessels just to name a few.
Types of parts handled

While serving the industries, we have gained experience in handling several assemblies and assortment of parts from Adaptors, Adjusters, Architectural parts, Arbors. Axles, Balancers, Brackets, Joints and many more.
We offer competitive pricing and our services bear the unfailing mark of our professional expertise. Our ability to deliver time bound results have earned us the distinction of one of the most dependable service provider of the industry.","Mechanical or Industrial Engineering","11-50 employees","Self Owned","Ahmedabad, Gujarat","India","mechanicalpipingdesign.com","https://www.linkedin.com/company/mechanical-piping-design",,,,,,,,,
,,"Trikon Technologies","Trikon.tech is an additive manufacturing company where we deal with the immensely helpful science of 3D Printing and robotics. We envision a world where the cumbersome process of conventional and expensive manufacturing is replaced with a far more advanced, prudent process of 3D Printing. In close cooperation with the respective fields experts, we operate in the Medical and Architectural domains, in addition to this we also span to other domains like academics. Trikon.tech is also striving to manufacture indigenous 3D Printers. Setting up 3D Printers and popularizing them for use by a simple man, right out of the box. We at Trikon.tech strive to help realize designs and pour life to ideas.","Mechanical or Industrial Engineering","2-10 employees","Privately Held","Greater Noida West, Uttar Pradesh","India","trikon.tech","https://www.linkedin.com/company/trikon-tech",,,,,,,,,
,,"EAS Technology","Established as a Partnership firm in the year 2021 at Ahmedabad (Gujarat, India), we EAS Technology are a leading Wholesale Trader of a wide range of Solar Pump Inverter, Delta PLC, Frequency Inverter, etc.","Mechanical or Industrial Engineering","2-10 employees","Partnership","Ahmedabad, Gujarat","India","indiamart.com","https://www.linkedin.com/company/eas-technology",,,,,,,,,
,,"SHRUSHTI INDUSTRIES","SHRUSTHI Industries is manufacturer of customized machining parts has been providing engineering solution to customers in all over INDIA over the past of 5 years.
TYPE OF JOB:
	PROTOTYPE JOB
	INDUSTRIAL FABRICATION 
	CONTRACT MANUFACTURING
	RECONDITIONING OF WEAR AND TEAR
 PARTS
. SPECIAL PURPOSE MACHINE","Mechanical or Industrial Engineering","2-10 employees","Privately Held","AHMEDNAGAR, MAHARASHTRA","India",,"https://www.linkedin.com/company/shrushti-industries",,,,,,,,,
,,"TECHNIOR INDIA ENGINEERING",,"Mechanical or Industrial Engineering",,,"Telikicherla, Andhra Pradesh","India","techniorindia.com","https://www.linkedin.com/company/technior-india-engineering",,,,,,,,,
,,"Futura Engineering Private Limited","Futura Engineering, founded in 1989, is a renowned company specializing in the manufacturing of die & moulds, Special Purpose Machines (SPM) for metal cutting, and providing Industrial Components Fabrication & CNC machining services. The company's commitment to quality and innovation has earned them an unbeatable reputation, allowing them to export their products worldwide. Futura's success is attributed to their customer-centric approach, cutting-edge technology, and a culture of continuous improvement.","Mechanical or Industrial Engineering","51-200 employees","Privately Held","Gandhinagar","India","futuraengineering.in","https://www.linkedin.com/company/futura-engineering",,,,,,,,,
,,"Reshma Agro Engineers","We are the manufacturers of ceiling fans,pedestal fans, madhanies, fresh air fans, all purpose fans, exhaust fans, hot plate, induction cooker. Our company is ISO 9001:2008 certified and we believe in quality not cost.","Mechanical or Industrial Engineering","11-50 employees",,"Delhi, Delhi","India","indiamart.com","https://www.linkedin.com/company/reshma-agro-engineers",,,,,,,,,
,,"JSR Metal LLP","The company, JSR METAL LLP, specializes in the production of Brass Meter Parts, Electrical Parts, Transformer Parts, Brass Neutral Link, Brass Fasteners & Inserts, Brass Drain Accessories, Other Brass Precision Components on design or customers sample.

JSR METAL LLP takes the present corporate form in 2017 from the transformation of a previous company born in 1990. It is founded in Jamnagar, Gujarat, India  the economic capital of the Brass industry, where it grows by increasing volume and production varieties. During the early years, it focused its business on the production of brass fittings, expanding its range of articles with more complex fittings and components and for a variety of destinations.

Constant growth has enabled the company to become an increasingly demanding and selective world market by unifying the standards required by the creation of a technical office and a quality department equipped with sophisticated control systems.","Mechanical or Industrial Engineering","11-50 employees","Partnership","Jamnagar, Gujarat","India","jsrmetal.com","https://www.linkedin.com/company/jsr-metal-llp",,,,,,,,,
,,"YANTRA ENGINEERING","We are strongly positioned in the market as the trusted Manufacturer, Exporter and Supplier of Fabric Shearing Machines, Weft Butta Cutting Machines, Coning Machines, Soft Winder Machines, etc. These are known for their robust design and durability..

Inaugurated in the year 2003, we Yantra Engineering are the renowned manufacturer, exporter and supplier of a comprehensive array of Fabric Shearing Machines, Weft Butta Cutting Machines, Coning Machines, Soft Winder Machines, Ring Doubler Machines, Hank Machines, etc. These machines are designed & manufactured using the best grade raw material and advanced techniques in complete accordance with the set universal norms. The raw material that we use to manufacture these machines is procured from some of the trusted and dependable vendors of the industry. We offer the entire range in variegated options in order to meet the different requirements of customers. Moreover, these machines are customized as per the variegated demands of patrons. The offered range is appreciated for its excellent performance, corrosion resistance, minimum maintenance, rigid construction and long service life. Our offered machines are sternly checked by our quality auditors on different measures to ensure their zero manufacturing defects. We are exporting our products in all over the world.","Mechanical or Industrial Engineering","2-10 employees","Privately Held","Surat, Gujarat","India","yantraeng.com","https://www.linkedin.com/company/yantra-engineering",,,,,,,,,
,,"S K B Engineering System Private Limited","About Us We at S K B Engineering System Private Limited are Service Provider of Piping Design & Detail Engineering, Structural Detailing, Plant Design Solutions (pds), Mechanical Detailing and Archi","Mechanical or Industrial Engineering","201-500 employees",,"Chennai, Tamil Nadu","India","indiamart.com","https://www.linkedin.com/company/s-k-b-engineering-system-private-limited",,,,,,,,,
,,"Tapflo Pumps India Pvt Ltd",,"Mechanical or Industrial Engineering",,,,"India","tapfloindia.com","https://www.linkedin.com/company/tapflo-pumps-india-pvt-ltd",,,,,,,,,
,,"Riddhi Vinayak Engineers","Riddhi Vinayak Engineers Manufacturer of gear pulley, ms pipe & cast iron belt pulley in Ahmedabad, Gujarat.","Mechanical or Industrial Engineering","11-50 employees",,"Ahmedabad, Gujarat","India","indiamart.com","https://www.linkedin.com/company/riddhi-vinayak-engineers",,,,,,,,,
,,"Rumeet Engineers LLP","THE EMERGENCE OF THE LEADERS IN VENDING BUSINESS.  

Vending machines, a prospect from the past that has quickly become the need of the hour. A technology that can allow our customers to sell their product 24/7 with minimum possible contact and the general public can get the product in a few easy steps with no standing in queues for just making payments.  

We at Rumeet engineers are here to help make your business contactless with ease of accessing the  product at the nearest vending machine- 24/7. Our promise is to deliver customized vending  solutions that cater to your product specific needs- be it variety, sizes, temperature requirement,  etc. If you require it, our job is to fulfill it.","Mechanical or Industrial Engineering","11-50 employees","Partnership","Pune, Maharashtra","India","rumeetengineers.com","https://www.linkedin.com/company/rumeet-engineers-llp",,,,,,,,,
,,"Mill Fab Engineers","We are Designing in manufacturing and supplying of Tube Mill Machine, Tube Mill Equipments, Metal Pipe, Recoiler Machine., Cut To Length Machine and more. The products are excellent in quality.","Mechanical or Industrial Engineering","51-200 employees",,"Hyderabad, Telangana","India","indiamart.com","https://www.linkedin.com/company/mill-fab-engineers",,,,,,,,,
,,"Grameen","AI is helping solve the problems like poverty, illiteracy, unemployment, and healthcare in rural India and making our lives more efficient.

Come and join us to uplift rural India with AI !!","Data Infrastructure and Analytics","51-200 employees","Non Profit","Kolkata, West Bengal","India","google.com","https://www.linkedin.com/company/grameen-ai",,,,,,,,,
,,"Pujara Engineers","Established in 1988 , Pujara Engineers is the leading Manufacturer and Exporter of Toe Load Testing Device, Rail Jack, Railway Safety Sign, Off Track Tamper Machine, Railway Track Switch and much more.","Mechanical or Industrial Engineering","51-200 employees",,"Delhi, Delhi","India","indiamart.com","https://www.linkedin.com/company/pujara-engineers",,,,,,,,,
,,"ACE-3D SERVICES","Manufacturers automate production processes and streamline workflows by prototyping tooling and directly 3D printing custom tools, molds and Manufacturing Aids at far lower costs and lead times than with traditional manufacturing. This reduces manufacturing costs and defects, increases quality, speeds up assembly and maximizes labor effectiveness.","Mechanical or Industrial Engineering","11-50 employees","Privately Held","Indore, Madhya Pradesh","India",,"https://www.linkedin.com/company/ace-3dservices",,,,,,,,,
,,"SN Engineering",,"Mechanical or Industrial Engineering","2-10 employees","Partnership","Pune, MAHARASHTRA","India",,"https://www.linkedin.com/company/snengineering",,,,,,,,,
